Вокзальна|50.441667,30.4875
Університет|50.444167,30.505833
Театральна|50.444722,30.518056
Хрещатик|50.4473189,30.5263088
Арсенальна|50.443889,30.545556
Дніпро|50.441111,30.55861
Гідропарк|50.445556,30.576944
Лівобережна|50.451389,30.598889
Дарниця|50.455556,30.613056
Чернігівська|50.459722,30.630833
Лісова|50.464639,30.645556
Політехнічний інститут|50.450833,30.466111
Шулявська|50.455,30.445278
Берестейська|50.458333,30.420833
Нивки|50.458653,30.404042
Святошин|50.457903,30.390614
Житомирська|50.456175,30.365628
Академмістечко|50.464861,30.355083
Героїв Дніпра|50.5225,30.498611
Мінська|50.512222,30.498333
Оболонь|50.501111,30.498056
Почайна|50.486667,30.497778
Тараса Шевченка|50.473056,30.505
Контрактова площа|50.465,30.516667
Поштова площа|50.459167,30.525556
Майдан Незалежності|50.45,30.524167
Площа Льва Толстого|50.439444,30.516944
Олімпійська|50.431944,30.516389
Палац «Україна»|50.420833,30.520833
Либідська|50.420833,30.520833
Деміївська|50.404792,30.516833
Голосіївська|50.3975,30.508333
Васильківська|50.393333,30.488056
Виставковий центр|50.382581,30.477536
Іподром|50.376556,30.469117
Теремки|50.367044,30.454203
Сирець|50.476111,30.430556
Дорогожичі|50.473611,30.449444
Лук\янівська|50.462222,30.481667
Золоті ворота|50.448333,30.513333
Палац спорту|50.438056,30.520833
Кловська|50.436944,30.531667
Печерська|50.4275,30.538889
Дружби народів|50.418056,30.545
Видубичі|50.402222,30.560833
Славутич|50.394167,30.604167
Осокорки |50.395278,30.616111
Позняки|50.398056,30.633333
Харківська|50.400833,30.652222
Вирлиця|50.403333,30.666111
Бориспільська|50.403333,30.682778
Червоний хутір|50.408889,30.694444
